# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
2.484000000000000E+009	-3.756953774637767E+000	-9.239510505879591E-001	-2.892501248515216E+001	
2.496000000000000E+009	-3.616195500517974E+000	-8.676701971157041E-001	-3.067117128766791E+001	
2.508000000000000E+009	-3.502253468144867E+000	-8.185490282379294E-001	-3.393589702797451E+001	
2.520000000000000E+009	-3.352473368977496E+000	-9.211303445539938E-001	-4.039646074488891E+001	
2.532000000000000E+009	-3.066544411966921E+000	-2.924403576411719E+000	-2.397333526975972E+001	
2.544000000000000E+009	-3.052071787110969E+000	-2.911311372639468E+000	-2.277446481092001E+001	
2.556000000000000E+009	-2.998051438408003E+000	-1.878827298800832E+000	-2.479997569888387E+001	
2.568000000000000E+009	-2.876719626988431E+000	-1.514877685579584E+000	-2.625847318647136E+001	
2.580000000000000E+009	-2.704356349974220E+000	-1.334328410904278E+000	-2.770994455703256E+001	
2.592000000000000E+009	-2.546593512649552E+000	-1.243069520023936E+000	-2.873188380950961E+001	
2.604000000000000E+009	-2.437132910505438E+000	-1.172431420583197E+000	-2.983012215531017E+001	
2.616000000000000E+009	-2.326133446399812E+000	-1.153690452219331E+000	-3.079967930538961E+001	
2.628000000000000E+009	-2.202182401927579E+000	-1.131344646202140E+000	-3.180509870241645E+001	
2.640000000000000E+009	-2.069923810337402E+000	-1.087408069998146E+000	-3.315692695653052E+001	
2.652000000000000E+009	-1.933639251701220E+000	-1.022115358587738E+000	-3.506220335183065E+001	
2.664000000000000E+009	-1.809795201041568E+000	-9.762790583072145E-001	-3.768808491160267E+001	
2.676000000000000E+009	-1.777998430953875E+000	-9.565003820989957E-001	-4.187081881002577E+001	
2.688000000000000E+009	-2.070402563763100E+000	-9.426705054444613E-001	-3.947954410333341E+001	
2.700000000000000E+009	-3.777763803222040E+000	-9.380594712513295E-001	-3.134386003832426E+001	
2.712000000000000E+009	-1.280678073690241E+001	-9.387360099366743E-001	-2.682312991766925E+001	
2.724000000000000E+009	-1.317711206360965E+001	-9.649133774416800E-001	-2.653174836450409E+001	
2.736000000000000E+009	-7.035249474927430E+000	-9.794062215839370E-001	-2.756706645621412E+001	
2.748000000000000E+009	-5.131373730748330E+000	-1.000952456403053E+000	-2.869509964250893E+001	
2.760000000000000E+009	-4.204181260248806E+000	-1.003760275155573E+000	-2.952777789830436E+001	
2.772000000000000E+009	-3.670336944671804E+000	-1.001842476641512E+000	-3.015774748195064E+001	
2.784000000000000E+009	-3.330578452744014E+000	-9.846966031105626E-001	-3.085959510866955E+001	
2.796000000000000E+009	-3.109023532583044E+000	-9.583007413788355E-001	-3.155498979856074E+001	
2.808000000000000E+009	-2.953500782340503E+000	-9.543440459737900E-001	-3.224060599182428E+001	
2.820000000000000E+009	-2.845939789515894E+000	-9.609395204004688E-001	-3.286634334954491E+001	
2.832000000000000E+009	-2.760018854410275E+000	-9.694968420229410E-001	-3.342617616388005E+001	
2.844000000000000E+009	-2.669643878618082E+000	-9.853988605680715E-001	-3.400812671593360E+001	
2.856000000000000E+009	-2.571022241101746E+000	-9.919596067282813E-001	-3.452266635428309E+001	
2.868000000000000E+009	-2.491043749256584E+000	-9.921098046766369E-001	-3.495414125690584E+001	
2.880000000000000E+009	-2.387195235518586E+000	-9.875854128972157E-001	-3.533888706354304E+001	
2.892000000000000E+009	-2.290744009536016E+000	-9.798817212360474E-001	-3.564664780203325E+001	
2.904000000000000E+009	-2.181358433341060E+000	-9.584110536034554E-001	-3.600040391863527E+001	
2.916000000000000E+009	-2.083543265262295E+000	-9.337642276892681E-001	-3.635436342728270E+001	
2.928000000000000E+009	-2.021964960274412E+000	-9.139935529851462E-001	-3.669781737502289E+001	
2.940000000000000E+009	-1.990604786600099E+000	-9.101550184729256E-001	-3.705574792401959E+001	
2.952000000000000E+009	-1.969939908562717E+000	-9.305900126862593E-001	-3.734524535307211E+001	
2.964000000000000E+009	-1.974498750997425E+000	-9.636797186829347E-001	-3.762598599935924E+001	
2.976000000000000E+009	-1.986091803815143E+000	-9.907971867686752E-001	-3.782246065080800E+001	
2.988000000000000E+009	-2.012274813676722E+000	-9.988917319479980E-001	-3.812424586174510E+001	
3.000000000000000E+009	-2.017918699616408E+000	-9.961333284408346E-001	-3.844872706655043E+001	
