# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.644000000000000E+009	-2.249762654422258E+000	-2.841970479324556E+000	-2.254557262745471E+001	
1.656000000000000E+009	-2.204060065555496E+000	-2.934252850188232E+000	-2.238991572217324E+001	
1.668000000000000E+009	-2.253209771893738E+000	-3.070370066429650E+000	-2.235173704343865E+001	
1.680000000000000E+009	-2.310810297462661E+000	-3.250895027032880E+000	-2.202378608326939E+001	
1.692000000000000E+009	-2.389511366154808E+000	-3.385839413432393E+000	-2.191505462605656E+001	
1.704000000000000E+009	-2.460826436191696E+000	-3.441374456548861E+000	-2.207463442359748E+001	
1.716000000000000E+009	-2.534222723865137E+000	-3.484469399695379E+000	-2.208095085595794E+001	
1.728000000000000E+009	-2.669920945583337E+000	-3.499410950325475E+000	-2.210710656961200E+001	
1.740000000000000E+009	-2.771042211793704E+000	-3.417195952323159E+000	-2.194504736852947E+001	
1.752000000000000E+009	-2.872824553287527E+000	-3.440597228854832E+000	-2.205708900545697E+001	
1.764000000000000E+009	-3.040911540232139E+000	-3.574059146796827E+000	-2.161051097834878E+001	
1.776000000000000E+009	-3.192504760596066E+000	-3.758686138398102E+000	-2.123850320632302E+001	
1.788000000000000E+009	-3.415618618093713E+000	-3.842450413755408E+000	-2.112541947609114E+001	
1.800000000000000E+009	-3.702278702330924E+000	-3.923083856529769E+000	-2.059194771810660E+001	
1.812000000000000E+009	-3.966069075832892E+000	-3.997005422876290E+000	-2.024533417941852E+001	
1.824000000000000E+009	-4.156360966604294E+000	-3.939227437221069E+000	-2.026273917715276E+001	
1.836000000000000E+009	-4.485358218131095E+000	-3.819066399288709E+000	-2.013528420956648E+001	
1.848000000000000E+009	-4.860937957003880E+000	-3.519444260519882E+000	-2.003099047811557E+001	
1.860000000000000E+009	-5.310628407399825E+000	-3.245616447372341E+000	-2.001377873255240E+001	
1.872000000000000E+009	-5.844030110461438E+000	-2.903794448774551E+000	-2.020674235246745E+001	
1.884000000000000E+009	-6.425792709669252E+000	-2.494113427063546E+000	-2.087814429492696E+001	
1.896000000000000E+009	-6.981824401369178E+000	-2.093952552120172E+000	-2.166866419809344E+001	
1.908000000000000E+009	-7.550227997901469E+000	-1.720874561111257E+000	-2.255812483286686E+001	
1.920000000000000E+009	-7.861823794305041E+000	-1.347622773028377E+000	-2.421055566842425E+001	
1.932000000000000E+009	-7.890925972538232E+000	-1.028733265621769E+000	-2.707335762606894E+001	
1.944000000000000E+009	-7.798166911242026E+000	-8.465370659147730E-001	-3.103162988887551E+001	
1.956000000000000E+009	-7.424030720120620E+000	-8.316125673684166E-001	-3.336957411111023E+001	
1.968000000000000E+009	-6.928425143395721E+000	-1.051260302856703E+000	-2.893917849357464E+001	
1.980000000000000E+009	-6.356006049983158E+000	-1.591318860579422E+000	-2.464548039003133E+001	
1.992000000000000E+009	-5.954704094622236E+000	-2.673951591528627E+000	-2.136891727556143E+001	
2.004000000000000E+009	-5.587861423801463E+000	-4.616474816096156E+000	-1.935862735155936E+001	
2.016000000000000E+009	-5.322610351594345E+000	-7.798404460616004E+000	-1.834040281168266E+001	
2.028000000000000E+009	-5.087958527854663E+000	-1.001257384937362E+001	-1.806543991167608E+001	
2.040000000000000E+009	-4.874782540260704E+000	-8.606456647891603E+000	-1.868082311310370E+001	
2.052000000000000E+009	-4.563334177172980E+000	-6.666220181842531E+000	-2.014782590927607E+001	
2.064000000000000E+009	-4.332850690935993E+000	-5.277108999902899E+000	-2.231037701750758E+001	
2.076000000000000E+009	-4.454308291861755E+000	-4.318753282217053E+000	-2.495078495910643E+001	
2.088000000000000E+009	-5.321216765053725E+000	-3.595530496611716E+000	-2.468013348390024E+001	
2.100000000000000E+009	-6.936572198226576E+000	-3.111176776107676E+000	-2.160636143226360E+001	
2.112000000000000E+009	-7.868005288318618E+000	-2.881418152446243E+000	-1.942305308549107E+001	
2.124000000000000E+009	-7.414483958102009E+000	-2.779173845295149E+000	-1.858756203618986E+001	
2.136000000000000E+009	-6.532924014991830E+000	-2.705869703235595E+000	-1.840241481181900E+001	
2.148000000000000E+009	-5.775658353544493E+000	-2.616895256591988E+000	-1.856523465551739E+001	
2.160000000000000E+009	-5.272730535376482E+000	-2.530993169621899E+000	-1.893683489619000E+001	
2.172000000000000E+009	-4.896193383955071E+000	-2.504962160871837E+000	-1.915352497479675E+001	
2.184000000000000E+009	-4.634073296601480E+000	-2.499780541877426E+000	-1.944388747259890E+001	
