# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
2.004000000000000E+009	-5.423766038552441E+000	-4.689032350056952E+000	-1.902157755534865E+001	
2.016000000000000E+009	-5.150742022555995E+000	-7.774090872798849E+000	-1.823359015957611E+001	
2.028000000000000E+009	-4.924700388187668E+000	-1.043549474266766E+001	-1.832031113211961E+001	
2.040000000000000E+009	-4.649234165350773E+000	-9.060710224537921E+000	-1.907500979722735E+001	
2.052000000000000E+009	-4.360075418566769E+000	-6.723287185296426E+000	-2.033955334470089E+001	
2.064000000000000E+009	-4.268872807881594E+000	-5.237728049712237E+000	-2.230924194138682E+001	
2.076000000000000E+009	-4.461480900354492E+000	-4.203204432388375E+000	-2.529876158089828E+001	
2.088000000000000E+009	-5.282750369588925E+000	-3.464228071817283E+000	-2.583973895812899E+001	
2.100000000000000E+009	-6.793537397157856E+000	-3.019962373702789E+000	-2.236553573745852E+001	
2.112000000000000E+009	-7.641699723687675E+000	-2.763285113830981E+000	-2.010445647473715E+001	
2.124000000000000E+009	-7.257821405755626E+000	-2.643027514436478E+000	-1.900234033706456E+001	
2.136000000000000E+009	-6.411016487415207E+000	-2.577568058300032E+000	-1.863586302723556E+001	
2.148000000000000E+009	-5.636657036834240E+000	-2.572310819172881E+000	-1.866268500291433E+001	
2.160000000000000E+009	-5.155347554203417E+000	-2.583925385956770E+000	-1.882157304724401E+001	
2.172000000000000E+009	-4.865729312549741E+000	-2.544725545083631E+000	-1.906237749789267E+001	
2.184000000000000E+009	-4.662646941121355E+000	-2.494547382953115E+000	-1.944747275849438E+001	
2.196000000000000E+009	-4.550753928402488E+000	-2.451878844142068E+000	-1.959354566238777E+001	
2.208000000000000E+009	-4.465338335668889E+000	-2.414375689908463E+000	-1.976633909253578E+001	
2.220000000000000E+009	-4.430493882831622E+000	-2.356576815232171E+000	-2.011579247504217E+001	
2.232000000000000E+009	-4.450587882792519E+000	-2.292343705708201E+000	-2.032983607170784E+001	
2.244000000000000E+009	-4.478933231725416E+000	-2.218748553952398E+000	-2.048630835399909E+001	
2.256000000000000E+009	-4.594531837048137E+000	-2.136670409876079E+000	-2.073584388048587E+001	
2.268000000000000E+009	-4.753385076170538E+000	-2.049231423991043E+000	-2.094947038325840E+001	
2.280000000000000E+009	-4.810281811002577E+000	-1.970334630308797E+000	-2.102687825949960E+001	
2.292000000000000E+009	-4.812896957239502E+000	-1.873967449085521E+000	-2.120530913299442E+001	
2.304000000000000E+009	-4.792586122871738E+000	-1.782641109336923E+000	-2.153060785630744E+001	
2.316000000000000E+009	-4.790371725864583E+000	-1.725924454462818E+000	-2.189931091000983E+001	
2.328000000000000E+009	-4.824774285614409E+000	-1.693216444470267E+000	-2.212509597779182E+001	
2.340000000000000E+009	-4.826812570881669E+000	-1.665138394064591E+000	-2.252999041162362E+001	
2.352000000000000E+009	-4.916870041101626E+000	-1.613392245106541E+000	-2.293141562044007E+001	
2.364000000000000E+009	-4.965425326575933E+000	-1.524393544321601E+000	-2.329985247006422E+001	
2.376000000000000E+009	-4.949370202180847E+000	-1.432476977302202E+000	-2.361628064781663E+001	
2.388000000000000E+009	-4.883485017454892E+000	-1.368406721539678E+000	-2.391182889036757E+001	
2.400000000000000E+009	-4.805850573439962E+000	-1.319957702764277E+000	-2.410981594971928E+001	
2.412000000000000E+009	-4.729911160267084E+000	-1.287316365676328E+000	-2.429061134073090E+001	
2.424000000000000E+009	-4.652306754052415E+000	-1.238139202383049E+000	-2.469972338205267E+001	
2.436000000000000E+009	-4.570078996558885E+000	-1.195806416213130E+000	-2.509471681699827E+001	
2.448000000000000E+009	-4.453140718459175E+000	-1.141505278240461E+000	-2.570916677923631E+001	
2.460000000000000E+009	-4.335567034334134E+000	-1.069514607035863E+000	-2.643710440535152E+001	
2.472000000000000E+009	-4.126994345139296E+000	-9.879611335180700E-001	-2.729857131605058E+001	
2.484000000000000E+009	-3.886527533994313E+000	-9.181972169423522E-001	-2.837919851278584E+001	
2.496000000000000E+009	-3.708476231889020E+000	-8.581142479620957E-001	-3.014042555708564E+001	
2.508000000000000E+009	-3.519882192958705E+000	-8.065558310482446E-001	-3.390336612231574E+001	
2.520000000000000E+009	-3.334447187537450E+000	-9.211525472234977E-001	-3.928827903064712E+001	
2.532000000000000E+009	-2.984170652582745E+000	-2.886723983591853E+000	-2.329303045207983E+001	
2.544000000000000E+009	-2.995407172436534E+000	-2.908262021026067E+000	-2.220954831695900E+001	
2.556000000000000E+009	-2.929278778122804E+000	-1.904291555210486E+000	-2.429702806104402E+001	
2.568000000000000E+009	-2.806862853450240E+000	-1.520987094435075E+000	-2.588679743801473E+001	
2.580000000000000E+009	-2.648644979140893E+000	-1.338361269304610E+000	-2.725719079962609E+001	
2.592000000000000E+009	-2.501473908562745E+000	-1.235433126134774E+000	-2.833439710627793E+001	
2.604000000000000E+009	-2.404595801990199E+000	-1.172917221189845E+000	-2.933517661053284E+001	
2.616000000000000E+009	-2.307472424145119E+000	-1.147448078502640E+000	-3.041171435674167E+001	
2.628000000000000E+009	-2.204011121508414E+000	-1.114414097427207E+000	-3.149616153853920E+001	
2.640000000000000E+009	-2.073514119819609E+000	-1.068972018234773E+000	-3.291988606860360E+001	
2.652000000000000E+009	-1.937705441873949E+000	-9.996556018087057E-001	-3.483862360883879E+001	
2.664000000000000E+009	-1.813764863681016E+000	-9.535156004906193E-001	-3.745025944445916E+001	
2.676000000000000E+009	-1.777702352353659E+000	-9.361922844037612E-001	-4.162621395091944E+001	
2.688000000000000E+009	-2.045154628646686E+000	-9.259997704743500E-001	-3.884040280310117E+001	
2.700000000000000E+009	-3.645188105392577E+000	-9.222276296657053E-001	-3.088048137604318E+001	
2.712000000000000E+009	-1.243569035175788E+001	-9.278220180663034E-001	-2.632530137823196E+001	
2.724000000000000E+009	-1.281530504690470E+001	-9.547215995942637E-001	-2.618833195801192E+001	
2.736000000000000E+009	-6.741497776332793E+000	-9.606770709358419E-001	-2.752469034725148E+001	
2.748000000000000E+009	-4.872670299211680E+000	-9.756048976698358E-001	-2.898257410231687E+001	
2.760000000000000E+009	-3.996500167220768E+000	-9.739534659267821E-001	-3.017542609988922E+001	
2.772000000000000E+009	-3.509707393750819E+000	-9.747319902368783E-001	-3.104923303488455E+001	
2.784000000000000E+009	-3.201699826498042E+000	-9.606375674733992E-001	-3.179766477245487E+001	
2.796000000000000E+009	-3.010901639813828E+000	-9.394103988040049E-001	-3.228549873285718E+001	
2.808000000000000E+009	-2.881923935020601E+000	-9.445313025890921E-001	-3.285766464531017E+001	
2.820000000000000E+009	-2.790174693868027E+000	-9.521724662684272E-001	-3.334906729594170E+001	
2.832000000000000E+009	-2.716528157632909E+000	-9.558160187264189E-001	-3.392358124220279E+001	
2.844000000000000E+009	-2.642450396257915E+000	-9.695317595452563E-001	-3.443431427932851E+001	
2.856000000000000E+009	-2.556458781887501E+000	-9.766743517014953E-001	-3.475123061805970E+001	
2.868000000000000E+009	-2.490173979125305E+000	-9.757255073527898E-001	-3.519803060740189E+001	
2.880000000000000E+009	-2.398716232634954E+000	-9.678757992449290E-001	-3.557879944933045E+001	
2.892000000000000E+009	-2.311870914245284E+000	-9.607504386851463E-001	-3.603116398103074E+001	
2.904000000000000E+009	-2.213119621874625E+000	-9.402321817782630E-001	-3.634974700209153E+001	
2.916000000000000E+009	-2.121450909490396E+000	-9.137747682809675E-001	-3.673082135383395E+001	
2.928000000000000E+009	-2.071537862974623E+000	-8.940339319192858E-001	-3.720337957582203E+001	
2.940000000000000E+009	-2.044302154531482E+000	-8.871183070580490E-001	-3.754601595569692E+001	
2.952000000000000E+009	-2.028738902749772E+000	-9.063544648221655E-001	-3.793700239923588E+001	
2.964000000000000E+009	-2.032526626952972E+000	-9.401578608005803E-001	-3.821532739511340E+001	
2.976000000000000E+009	-2.040303871613918E+000	-9.674635799236372E-001	-3.844831493338077E+001	
2.988000000000000E+009	-2.064044268800319E+000	-9.796058690626273E-001	-3.874636996735367E+001	
3.000000000000000E+009	-2.067506896304761E+000	-9.792860848678076E-001	-3.899489004199624E+001	
