# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.680000000000000E+009	-2.491111779949391E+000	-2.605129867838676E+000	-2.094215242987648E+001	
1.692000000000000E+009	-2.517094667704521E+000	-2.696542922300606E+000	-2.086051771084524E+001	
1.704000000000000E+009	-2.540153294121104E+000	-2.765841087806722E+000	-2.088479435432352E+001	
1.716000000000000E+009	-2.604665780975927E+000	-2.861872656891023E+000	-2.079405742644813E+001	
1.728000000000000E+009	-2.702594150499643E+000	-2.911864228873919E+000	-2.089046609271397E+001	
1.740000000000000E+009	-2.855185183966179E+000	-2.995454457751717E+000	-2.073877194965854E+001	
1.752000000000000E+009	-2.994888317733258E+000	-3.160243315836768E+000	-2.010113662927676E+001	
1.764000000000000E+009	-3.157006051052514E+000	-3.274001039696883E+000	-1.964473354983010E+001	
1.776000000000000E+009	-3.370251400803778E+000	-3.392369009808934E+000	-1.938119487091531E+001	
1.788000000000000E+009	-3.647192593508511E+000	-3.495536832500962E+000	-1.904190916340336E+001	
1.800000000000000E+009	-3.950409490794017E+000	-3.640509296025895E+000	-1.872325358244545E+001	
1.812000000000000E+009	-4.341776249546221E+000	-3.785927752869906E+000	-1.812946801405330E+001	
1.824000000000000E+009	-4.922628885479115E+000	-3.980760529380127E+000	-1.774552873334556E+001	
1.836000000000000E+009	-5.474443694857166E+000	-4.165217037586515E+000	-1.757411381842331E+001	
1.848000000000000E+009	-5.556949378036212E+000	-4.306169932205034E+000	-1.747713413489032E+001	
1.860000000000000E+009	-5.066074080801585E+000	-4.479091662709924E+000	-1.747101456272173E+001	
1.872000000000000E+009	-3.890510933146117E+000	-4.771710537495554E+000	-1.808699819350004E+001	
1.884000000000000E+009	-2.570522320660652E+000	-5.339374408790748E+000	-1.958524311294863E+001	
1.896000000000000E+009	-1.546096568098006E+000	-6.176389446216910E+000	-2.240314705786263E+001	
1.908000000000000E+009	-9.639935610218275E-001	-7.196511037516457E+000	-2.656607855499248E+001	
1.920000000000000E+009	-7.337423803561717E-001	-8.308934411693528E+000	-3.543696250761402E+001	
1.932000000000000E+009	-7.112591476310888E-001	-9.255118977713552E+000	-4.069097172918436E+001	
1.944000000000000E+009	-7.781429106242049E-001	-1.004778377898813E+001	-3.055068073480874E+001	
1.956000000000000E+009	-9.037342128108843E-001	-1.050378716608907E+001	-2.681538968106407E+001	
1.968000000000000E+009	-1.064057109008084E+000	-1.090992207609056E+001	-2.440471694030574E+001	
