        Frequency                Csh2=0.3/abs,dB
                  1893.6                       -7.198046
                  1895.7                      -7.1386582
                  1897.8                      -7.0811577
                  1899.9                       -7.025505
                    1902                      -6.9716486
                  1904.1                      -6.9195507
                  1906.2                      -6.8691769
                  1908.3                      -6.8204803
                  1910.4                      -6.7734274
                  1912.5                      -6.7279819
                  1914.6                      -6.6841087
                  1916.7                      -6.6417763
                  1918.8                      -6.6009463
                  1920.9                      -6.5615873
                    1923                      -6.5236769
                  1925.1                      -6.4871758
                  1927.2                      -6.4520593
                  1929.3                       -6.418296
                  1931.4                      -6.3858603
                  1933.5                       -6.354726
                  1935.6                      -6.3248648
                  1937.7                       -6.296249
                  1939.8                      -6.2688585
                  1941.9                      -6.2426631
                    1944                      -6.2176412
                  1946.1                      -6.1937699
                  1948.2                      -6.1710242
                  1950.3                      -6.1493843
                  1952.4                      -6.1288232
                  1954.5                      -6.1093221
                  1956.6                      -6.0908587
                  1958.7                      -6.0734101
                  1960.8                      -6.0569559
                  1962.9                      -6.0414748
                    1965                      -6.0269474
                  1967.1                      -6.0133537
                  1969.2                      -6.0006711
                  1971.3                      -5.9888803
                  1973.4                       -5.977962
                  1975.5                       -5.967895
                  1977.6                      -5.9586599
                  1979.7                      -5.9502373
                  1981.8                      -5.9426073
                  1983.9                      -5.9357509
                    1986                      -5.9296473
                  1988.1                      -5.9242764
                  1990.2                      -5.9196205
                  1992.3                      -5.9156584
                  1994.4                      -5.9123707
                  1996.5                      -5.9097373
                  1998.6                      -5.9077388
                  2000.7                      -5.9063556
                  2002.8                      -5.9055668
                  2004.9                      -5.9053527
                    2007                      -5.9056934
                  2009.1                      -5.9065678
                  2011.2                      -5.9079574
                  2013.3                      -5.9098395
                  2015.4                      -5.9121952
                  2017.5                      -5.9150031
                  2019.6                      -5.9182425
                  2021.7                      -5.9218934
                  2023.8                      -5.9259339
                  2025.9                      -5.9303438
                    2028                      -5.9351027
                  2030.1                      -5.9401885
                  2032.2                      -5.9455807
                  2034.3                      -5.9512586
                  2036.4                      -5.9572023
                  2038.5                      -5.9633897
                  2040.6                      -5.9697996
                  2042.7                      -5.9764142
                  2044.8                      -5.9832097
                  2046.9                       -5.990169
                    2049                      -5.9972707
                  2051.1                      -6.0044945
                  2053.2                      -6.0118219
                  2055.3                      -6.0192338
                  2057.4                        -6.02671
                  2059.5                      -6.0342331
